directorate,team_full,team_short,benchmark_group,exclude
Adult Acute & Crisis Mental Health (L3),267 IR&C Shepherdleas Ward,Shepherdleas Ward,Acute Psychiatric Ward,
Adult Community Mental Health Services (L3),268 CMH Greenwich EIP,Greenwich Early Intervention in Psychosis,Early Intervention in Psychosis,
Adult Acute & Crisis Mental Health (L3),269 IR&C Oaktree Lodge,Oaktree Lodge,Other Wards,
Adult Community Mental Health Services (L3),271 CMH Greenwich Psychology OPMH,Greenwich Psychology OPMH,OPMH Psychology,
Adult Community Mental Health Services (L3),"271, 278, 279, 280 - OPMH Psychology & Medical Services",OPMH Psychology & Medical Services,,1
Adult Community Mental Health Services (L3),273 CMH Greenwich CMHT OPMH,Greenwich CMHT OPMH,OPMH CMHT,
Adult Acute & Crisis Mental Health (L3),279 IR&C Greenwich Medical OPMH,Greenwich Medical OPMH,Medical,
Adult Community Mental Health Services (L3),281 278 Bexley CMHT OPMH & Bex Medical,Bexley CMHT OPMH & Bex Medical,Medical,
Adult Community Mental Health Services (L3),281 CMH Bexley CMHT OPMH,Bexley CMHT OPMH,OPMH CMHT,
Adult Acute & Crisis Mental Health (L3),283 IR&C IHTT OPMH,IHTT OPMH,Home Treatment Team,
Forensics (L3),"284 285 358 367363 368 501 Com Forensic, FIND, Inreach QI & Croydon, Proj 106, Womens SUSD","Com Forensic, FIND, Inreach QI & Croydon, Proj 106, Womens SUSD",,
Adult Community Mental Health Services (L3),287 CMH Greenwich Memory Service,Greenwich Memory Service,Memory,
Adult Community Mental Health Services (L3),288 CMH Bexley Memory Service OPMH,Bexley Memory Service OPMH,Memory,
Adult Learning Disabilities (L3),290 ALD Management Services,ALD Management Services,Management,
Adult Learning Disabilities (L3),291 ALD Greenwich Long Term,Greenwich Long Term Conditions,,
Corporate (L3),"295 305 322 Brom, Bex & Green Cent Serv","Brom, Bex & Green Cent Serv",,
Adult Learning Disabilities (L3),"295, 305, 322, 290 - ALD Management and Central Services",ALD Management and Central Services,,
Adult Learning Disabilities (L3),299 ALD Bexley Complex Physical Health,Bexley Complex Physical Health,ALD Complex Physical Health,
Adult Learning Disabilities (L3),301 ALD Bexley Mental Health/Ch Behaviour,Bexley Mental Health/Ch Behaviour,ALD MH,
