q_id,q_text,q_text_short,year_q,text_origin,q_type,trust_specific,down_good
88,"In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from patients / service users, their relatives or other members of the public?","In the last 12 months, how many times have you been the target of unwanted behaviour of a sexual nature in the workplace from patients / service users,  or members of the public (Never).",q17a,IQVIA_bench,option,,
101,"In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, their relatives or other members of the public?","In the last 12 months how many times have you personally experienced physical violence at work from patients / service users, or other members of the public (Never)",q13a,IQVIA_bench,option,,
99,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues?,In the last 12 months how many times have you personally experienced physical violence at work from other colleagues (Never),q13c,IQVIA_bench,option,,
100,In the last 12 months how many times have you personally experienced physical violence at work from managers?,In the last 12 months how many times have you personally experienced physical violence at work from managers (Never),q13b,IQVIA_bench,option,,
81,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from patients / service users, their relatives or other members of the public?","In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from patients / service users, or members of the public (Never)",q14a,IQVIA_bench,option,,
82,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from other colleagues?","In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from other colleagues (Never)",q14c,IQVIA_bench,option,,
80,"In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from managers?","In the last 12 months how many times have you personally experienced harassment, bullying or abuse at work from managers (Never)",q14b,IQVIA_bench,option,,
132,"In the last 12 months have you personally experienced discrimination at work from patients / service users, their relatives or other members of the public?","In the last 12 months have you personally experienced discrimination at work from patients / service users, or other members of the public (No)",q16a,IQVIA_bench,option,,
131,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues?,In the last 12 months have you personally experienced discrimination at work from a manager / team leader or other colleagues (No),q16b,IQVIA_bench,option,,
84,In my team disagreements are dealt with constructively.,In my team disagreements are dealt with constructively (Agree/Strongly agree),q7g,IQVIA_bench,option,,
21,If I spoke up about something that concerned me I am confident my organisation would address my concern.,If I spoke up about something that concerned me I am confident my organisation would address my concern (Agree/Strongly agree),q25f,IQVIA_bench,option,,
45,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation.,If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation (Agree/Strongly agree),q25d,IQVIA_bench,option,,
16,I would recommend my organisation as a place to work.,I would recommend my organisation as a place to work (Agree/Strongly agree),q25c,IQVIA_bench,option,,
27,I would feel secure raising concerns about unsafe clinical practice.,I would feel secure raising concerns about unsafe clinical practice (Agree/Strongly agree),q20a,IQVIA_bench,option,,
20,I will probably look for a job at a new organisation in the next 12 months.,I will probably look for a job at a new organisation in the next 12 months (Strongly disagree/Disagree),q26b,IQVIA_bench,option,,
24,I receive the respect I deserve from my colleagues at work.,I receive the respect I deserve from my colleagues at work (Agree/Strongly agree),q7c,IQVIA_bench,option,,
60,I often think about leaving this organisation.,I often think about leaving this organisation (Strongly disagree/Disagree),q26a,IQVIA_bench,option,,
10,I look forward to going to work.,I look forward to going to work (Often/Always),q2a,IQVIA_bench,option,,
11,I have unrealistic time pressures.,I have unrealistic time pressures (Never/Rarely),q5a,IQVIA_bench,option,,
